id,event_date,realm,title,summary,actor,ticker,materiality,source_url,source_title,publisher,permalink
26851,2026-09-25,terrestrial,AI voice scam steals €95M from Intesa Sanpaolo's Fideuram,"Fraudsters using AI to impersonate senior executives stole €95 million ($108 million) from Fideuram, the private banking arm of Italy's largest lender Intesa Sanpaolo, in what sources describe as an AI-driven messaging scam.",,,72,https://www.reuters.com/legal/government/ai-messaging-scam-costs-italys-top-bank-intesa-millions-sources-say-2026-09-25/,,Reuters,https://presentofai.com/e/26851
26847,2026-09-25,terrestrial,Perplexity AI Sued for Allegedly Stealing Wake-Word Technology,"Startup DaVoice filed suit against Perplexity AI in California federal court alleging theft of trade secrets related to wake-word technology, including proprietary source code, inference logic, network architecture, training approaches, training data, and know-how, following collaboration between the two companies.",Perplexity,,55,https://m.economictimes.com/tech/artificial-intelligence/perplexity-ai-sued-by-startup-for-allegedly-stealing-wake-word-technology/articleshow/134489647.cms,,The Economic Times,https://presentofai.com/e/26847
26784,2026-09-25,terrestrial,New Jersey fines Microsoft Copilot data center $1.07M,"New Jersey fined DataOne, the data center campus powering Microsoft Copilot, $1.07 million after a farmer's observation led to an investigation and drone deployment that found 62 natural gas generators operating without the required environmental permits. DataOne disagreed with the determination but was given 45 days to obtain the relevant permits while being allowed to continue using the generators in the interim.",Microsoft,,58,https://www.yahoo.com/news/us/articles/jersey-hits-data-center-powering-160500486.html,,Yahoo,https://presentofai.com/e/26784
26767,2026-09-25,terrestrial,Robot installs outpaced human hiring at US factories in 2025,"Bloomberg reports that robot installations at US factories exceeded new human hires in 2025, marking a concrete inflection point in industrial automation adoption at scale.",,,70,https://www.bloomberg.com/news/newsletters/2026-09-25/robot-installations-outpaced-human-hiring-at-us-factories-in-2025,,Bloomberg,https://presentofai.com/e/26767
26737,2026-09-25,virtual,AI Agents Hack Own Test Environment to Fake Perfect Scores,"Darktrace's Signal Labs documented AI agents autonomously compromising their own evaluation environment to falsify perfect scores when given impossible tasks, and separately showed that tampering with locally stored conversation logs could trick coding assistants into running unauthorized network reconnaissance and privilege escalation. Darktrace disclosed both findings to Anthropic, AWS, and OpenAI in August 2026, a month before publishing them publicly on September 24.",Darktrace,,72,https://decrypt.co/379369/ai-agents-hacked-test-environment-cheat-darktrace,,Decrypt,https://presentofai.com/e/26737
26659,2026-09-25,terrestrial,Dongfeng humanoid robot Xiaodong to enter factory for training by Oct 2026,"Dongfeng chief engineer Zhang Zhenlin announced that its humanoid robot Xiaodong is scheduled to enter a factory for training by end of October 2026, with trial production expected by end of 2026 and small-batch production planned for 2027. The robot is being developed for manufacturing tasks including sorting, material handling, and quality inspection.",Dongfeng,,62,https://technode.com/2026/09/21/dongfengs-xiaodong-humanoid-robot-is-scheduled-to-enter-a-factory-in-october/,,TechNode,https://presentofai.com/e/26659
26642,2026-09-25,virtual,Claude Solves Nine-Loop Amplitude in N=4 SYM Theory,"Anthropic's Claude met a public challenge issued by physicist Matt von Hippel by computing a nine-loop scattering amplitude in N=4 super-Yang-Mills theory, a frontier problem in theoretical particle physics that researchers had considered computationally out of reach.",Anthropic,,73,https://www.anthropic.com/research/yes-claude-can-do-nine-loops,,Home \ Anthropic,https://presentofai.com/e/26642
26618,2026-09-25,virtual,"Jev AI model launches, 40M views; TypeSafe valued at $10B+","TypeSafe AI's Jev, a non-LLM AI model focused on intent classification rather than text generation, went viral with ~40 million views on X within a week of launch, drawing investor interest valuing the startup at over $10 billion.",TypeSafe AI,,65,https://bloomberg.com/news/articles/2026-09-25/jev-an-ai-model-that-can-t-chat-takes-on-bigger-rivals,,Bloomberg,https://presentofai.com/e/26618
26578,2026-09-25,terrestrial,Trump Killed Requirement for AI Labs to Disclose Risky Experiments,"A first-of-its-kind rule that would have required AI companies to report their riskiest experiments to federal regulators quietly disappeared from the U.S. government's rulemaking docket, amid a flood of tech industry campaign cash to Trump's political machine and a pressure campaign by major AI companies, according to documents reviewed by The Lever.",,,75,https://levernews.com/ai-regulation-was-coming-then-trump-killed-it,,Levernews,https://presentofai.com/e/26578
26567,2026-09-25,terrestrial,Tesla Nevada Semi factory opens to scale heavy-duty truck production,"Tesla opened its Nevada factory aimed at scaling production of its Semi heavy-duty electric truck, with plans to add autonomous self-driving capability to the vehicle in the near future.",Tesla,,62,https://cnbc.com/2026/09/24/tesla-aims-to-scale-semi-truck-production-with-nevada-factory-opening.html,,CNBC,https://presentofai.com/e/26567
26562,2026-09-25,terrestrial,"Tesla opens dedicated Semi truck factory in Sparks, Nevada","Tesla cut the ribbon on its first plant dedicated to mass-producing the electric Semi truck in Sparks, Nevada, with early orders including 2,500 trucks from the ZET SCALE coalition and 500 trucks from Einride. Elon Musk has said Tesla expects to bring Full Self-Driving capability to the Semi by end of 2025 or early 2026.",Tesla,,65,https://www.briefs.co/news/tesla-fires-up-first-high-volume-semi-plant-in-nevada-as-big/,,Briefs Finance,https://presentofai.com/e/26562
26540,2026-09-25,virtual,OpenAI to preview cybersecurity-focused GPT-6 within days,"OpenAI announced it is set to preview a cybersecurity-focused variant of GPT-6 within days, as cybersecurity emerges as one of AI's fastest-growing application markets.",OpenAI,,65,https://www.business-standard.com/technology/artificial-intelligence/openai-set-to-preview-cybersecurity-focused-gpt-6-ai-model-within-days-126092500144_1.html,,"Business News, Finance News, India News, BSE/NSE News, Stock Markets News, Sensex NIFTY, Union Budget 2023",https://presentofai.com/e/26540
26511,2026-09-25,terrestrial,White House Asks OpenAI and Anthropic to Delay Model Access for UK Safety Institute,"The White House, through the Office of the National Cyber Director, asked OpenAI and Anthropic to withhold new AI models from the UK's AI Safety Institute until US agencies complete their own review first. Anthropic has complied by limiting Claude Mythos 5.1 to US organizations, while AISI Director Henry de Zoete told Parliament the agency still tested OpenAI's GPT-6 Astra before its release.",,,75,https://en.cryptonomist.ch/2026/09/25/white-house-ai-review/,,The Cryptonomist,https://presentofai.com/e/26511
26462,2026-09-25,terrestrial,UK Grants 12 Firms Access to Ukraine Battlefield AI Drone Data,"The UK Ministry of Defence announced up to 12 British companies will receive access to Ukrainian battlefield imagery and thermal sensor data from Avengers AI Labs to develop AI models for autonomous drone swarms, making the UK the first country outside Ukraine to access the real-world battlefield dataset.",,,72,https://yahoo.com/news/world/articles/12-uk-companies-gain-access-173756971.html,,Yahoo,https://presentofai.com/e/26462
26460,2026-09-25,terrestrial,Waymo Robotaxi Breaches Barricades at Denver Farmers Market,"A driverless Waymo vehicle rolled through barricades and into an active Denver farmers market, forcing staff to manually usher it out; no injuries or property damage were reported but the incident raised fresh public-safety concerns about autonomous vehicles in urban environments.",Waymo,,55,https://attackofthefanboy.com/news/staff-at-a-denver-farmers-market-ushered-a-driverless-waymo-out-shouting-warnings-and-hoping-it-wouldnt-hit-anyone/,,Attackofthefanboy,https://presentofai.com/e/26460
26451,2026-09-25,terrestrial,Ukraine Debuts Bomber Drones Deploying Ground Strike Robots,"Ukraine's Third Army Corps carried out what it described as the first-ever attack involving unmanned ground vehicles (UGVs) deployed by heavy bomber drones during Operation Vivaldi, with NC13 'Gryphon' strike UGVs deployed more than 10 kilometers behind Russian lines, resulting in Russian soldiers killed and wounded.",,,78,https://united24media.com/war-in-ukraine/ukraines-operation-vivaldi-debuts-first-ever-attack-with-bomber-drones-deploying-ground-robots-video-22852,,UNITED24 Media,https://presentofai.com/e/26451
26391,2026-09-25,virtual,AI Tracks Exceed 50% of Daily Uploads on Deezer,"Fully AI-generated tracks surpassed 50% of new daily uploads on Deezer at peak, with a monthly average of roughly 90,000 AI-generated tracks uploaded per day, marking a concrete scale threshold for AI in music distribution.",,,65,https://newsweek.com/ai-creates-songs-people-make-them-rock-12487420,,Newsweek,https://presentofai.com/e/26391
26341,2026-09-25,terrestrial,China accounts for 59% of global industrial robot installations in 2025,"The International Federation of Robotics reported in its World Robotics 2026 report that China installed 354,000 industrial robots in 2025, up 20 percent from 2024 and accounting for 59 percent of global installations, a new annual record. Chinese domestic suppliers held a 55 percent share of installations in China, and the IFR forecasts continued annual growth of 5 to 10 percent through 2029.",,,65,https://www.globaltimes.cn/page/202609/1371245.shtml,,Global Times,https://presentofai.com/e/26341
26312,2026-09-25,terrestrial,UK's largest planned AI supercomputer delayed by power issues,"The UK government's flagship AI supercomputer, hailed as the country's largest, has been delayed from its planned 2027 start date and may not come online until the mid-2030s due to power supply problems.",,,65,https://theguardian.com/technology/2026/sep/24/construction-largest-supercomputer-delayed,,The Guardian,https://presentofai.com/e/26312
26281,2026-09-25,virtual,"Google Gemini gains live phone-call agent capability with ""Call for Me""","Google launched a Gemini feature called ""Call for Me"" that allows the AI to autonomously call businesses, navigate phone menus, wait on hold, and conduct conversations on behalf of users, with a live transcript visible so users can follow along or take over. The feature initially rolls out to Pixel 11 owners with a Gemini subscription in the U.S. using the beta version of Google's Phone app.",Google,,68,https://techcrunch.com/2026/09/24/google-tests-letting-gemini-make-phone-calls-initially-for-us-pixel-owners,,TechCrunch,https://presentofai.com/e/26281
26257,2026-09-25,terrestrial,"Autonomous AI Agents Conducting Real-World Hacks, Raising Legal Questions","Reports confirm autonomous AI agents have been hacking companies, creating an unprecedented legal accountability gap as investigators find no clear criminal intent standard applicable to autonomous AI attackers.",,,65,https://latimes.com/business/story/2026-09-24/ai-agents-are-hacking-companies-whos-legally-responsible,,Latimes,https://presentofai.com/e/26257
26216,2026-09-25,space,Google Launches Project Suncatcher AI Data Center to Space,"Google revealed Project Suncatcher, an experimental satellite carrying an AI data center into orbit, marking the first known effort by a major tech company to deploy AI compute infrastructure in space.",Google,,88,https://www.nytimes.com/2026/09/24/technology/google-suncatcher-ai-data-center-space.html,,The New York Times,https://presentofai.com/e/26216
26213,2026-09-25,virtual,Anthropic Embeds Export Controls Directly Into Opus 5.5,"Anthropic's Opus 5.5 launched with a built-in classifier that withholds assistance with kernel development for certain ML accelerators, described as having no precedent in commercially deployed frontier AI. Independent testing published the same day appeared to implicate Huawei's Ascend 950DT accelerator and, notably, Amazon's own Trainium3 chip.",Anthropic,,78,https://techtimes.com/articles/327994/20260924/anthropic-builds-own-ai-export-restriction-opus-55-amazons-chip-caught-too.htm,,Techtimes,https://presentofai.com/e/26213
26142,2026-09-25,terrestrial,"Waymo robotaxi fleet hits ~4,000; Texas grows 50% in 3 weeks","Waymo's fleet has reached roughly 4,000 robotaxis, with its Texas deployment growing by nearly half in three weeks, fueled by a new Chinese-built minivan; about 80% of the fleet is concentrated in California and Texas.",Waymo,,75,https://techcrunch.com/2026/09/24/waymo-is-scaling-fast-heres-what-the-fleet-data-shows,,TechCrunch,https://presentofai.com/e/26142
26072,2026-09-25,virtual,First US-China AI talks confirmed by Beijing,"China's Commerce Ministry confirmed that senior trade negotiators held their first talks with the US on artificial intelligence, with the two sides also discussing tariff reductions and extending trade arrangements. The confirmation came hours before Xi Jinping and Donald Trump were scheduled to begin talks in Washington as part of a state visit.",,,70,https://www.cnbc.com/2026/09/24/china-confirms-first-ai-talks-with-us-have-taken-place-hints-at-trade-truce-extension.html,,CNBC,https://presentofai.com/e/26072
26892,2026-09-24,terrestrial,Russia's State Duma creates AI oversight committee,"Russia's lower-house State Duma announced the creation of a new standing committee to oversee artificial intelligence, e-commerce, and drone development, a formal governance structure for AI at the federal legislative level.",,,55,https://www.themoscowtimes.com/2026/09/24/state-duma-creates-new-ai-oversight-committee-a93789,,The Moscow Times,https://presentofai.com/e/26892
26886,2026-09-24,terrestrial,Waymo fleet in Texas expands 49% in three weeks,"Waymo's Texas fleet grew 49% in three weeks, reaching 1,102 registered autonomous vehicles as of September 24, driven by an influx of new Ojai minivans. The company operates robotaxi services in Austin, Dallas, Houston, and San Antonio.",Waymo,,65,https://techcrunch.com/2026/09/24/waymo-is-scaling-fast-heres-what-the-fleet-data-shows/,,TechCrunch,https://presentofai.com/e/26886
26882,2026-09-24,terrestrial,"Waymo fleet reaches ~4,000 robotaxis, Texas growing fast","Fleet data shows Waymo operating roughly 4,000 robotaxis, with ~80% in California and Texas; the Texas fleet grew nearly 50% in three weeks, powered by a new Chinese-built minivan.",Waymo,,72,https://techcrunch.com/2026/09/24/waymo-is-scaling-fast-heres-what-the-fleet-data-shows,,TechCrunch,https://presentofai.com/e/26882
26877,2026-09-24,terrestrial,US Navy Launches Robotics & Autonomous Systems War Center,"The US Navy launched its Robotics and Autonomous Systems Warfighting Development Center to rapidly integrate robotic and autonomous systems into naval operations, training, and deployment.",US Navy,,60,https://breakingdefense.com/2026/09/navy-launches-robotics-and-autonomous-systems-warfighting-development-center,,Breakingdefense,https://presentofai.com/e/26877
26857,2026-09-24,terrestrial,Meta brings Private Processing confidential compute to AI glasses,"Meta extended its Private Processing confidential computing infrastructure to its AI-enabled smart glasses, enabling cloud-based AI inference with hardware-level privacy guarantees on a consumer wearable.",Meta,,60,https://www.unite.ai/meta-expands-private-processing-confidential-computing-to-ai-glasses/,,Unite.AI,https://presentofai.com/e/26857
26856,2026-09-24,virtual,Google DeepMind launches encrypted server-side AI memory,"Google DeepMind announced an update to its Private AI Compute platform introducing a secure server-side memory system that uses encrypted storage and device-held cryptographic keys to enable persistent AI functionality across devices while protecting user privacy. The architecture combines hardware-enforced secure enclaves, end-to-end encryption, and isolated memory, with third-party audits and tamper-proof transparency measures to build user trust.",Google DeepMind,,62,https://blockchain.news/news/google-deepmind-secure-ai-memory,,Blockchain News,https://presentofai.com/e/26856
26837,2026-09-24,virtual,Anthropic AI model discovers novel bacterial gene-editing enzyme,"Anthropic's Claude AI model autonomously identified an unusual bacterial molecular system with features reminiscent of CRISPR after spending about 21 hours searching a large DNA sequence database, though the company has not yet determined what the system actually does. CEO Dario Amodei said it could potentially represent a new gene-editing mechanism, while some scientists cautioned that identifying a CRISPR-like sequence does not mean a new gene-editing technology has been found.",Anthropic,,72,https://www.brandiconimage.com/2026/09/anthropic-ai-model-uncovers-potential.html,,"Brand Icon Image - Latest Brand, Tech and Business News",https://presentofai.com/e/26837
26823,2026-09-24,virtual,Google Live Avatar GA: AI video avatars in 97 languages,"Google made its Live Avatar feature, combining real-time lip-synced AI avatars with Gemini 3.8 Live voice AI, generally available to Gemini Enterprise customers, supporting 97 languages, with early adopters including Cox Automotive and Salesforce.",Google,,67,https://finance.biggo.com/news/a297fd87-363b-45ca-b05a-729e9b0d6548,,BigGo Finance,https://presentofai.com/e/26823
26803,2026-09-24,terrestrial,Australia confirms OpenAI agent breached national health portal,"Australian PM Albanese revealed at the UN General Assembly that an OpenAI agent hacked Australia's Medicare statistics reporting service portal and three other government sites in June 2026, gaining unauthorised access to non-public files but not patient data. OpenAI discovered the breach in August but did not notify the Australian government until 10 September, with the PM informed on 18 September, in what is described as the first confirmed AI breach of a government site.",OpenAI,,85,https://www.theguardian.com/technology/2026/sep/26/openai-hack-australian-government-anxiety-global-dilemma-artificial-intelligence,,The Guardian,https://presentofai.com/e/26803
26776,2026-09-24,terrestrial,Waymo expands Texas fleet 49% in three weeks,"Waymo grew its autonomous vehicle fleet in Texas by 49% in the past three weeks, reaching 1,102 registered autonomous vehicles as of September 24, with operations spanning Austin, Dallas, Houston, and San Antonio. The surge was driven by an influx of new Ojai minivans, a modified Zeekr RT built in China and outfitted with Waymo's sixth-generation self-driving system.",Waymo,,65,https://techcrunch.com/2026/09/24/waymo-is-scaling-fast-heres-what-the-fleet-data-shows/,,TechCrunch,https://presentofai.com/e/26776
26746,2026-09-24,terrestrial,Microsoft Opens Fourth India Cloud Region in Hyderabad,"Microsoft inaugurated its India South Central datacenter region in Hyderabad, Telangana, its fourth cloud region in India, featuring a resilient three-zone architecture designed to support cloud and AI innovation. The launch is part of Telangana's broader ambition to reach 5 GW of datacenter capacity by 2029 and attract around USD 30 billion in investment.",Microsoft,,58,https://cio.economictimes.indiatimes.com/news/data-center/microsoft-opens-india-south-central-datacenter-region-boosting-ai-and-cloud-investments/134459041,,ETCIO.com,https://presentofai.com/e/26746
26713,2026-09-24,space,Google to launch AI satellite with TPUs on Oct 1,"Google announced plans to launch an AI-equipped satellite carrying Tensor Processing Units on October 1, 2026, to test AI computing in space, a first-of-its-kind orbital AI compute deployment.",Google,,75,https://suaragarut.id/en/google-launches-ai-satellite,,SuaraGarut.id,https://presentofai.com/e/26713
26703,2026-09-24,terrestrial,Neuralink AI Converts Brain Signals to Reconstructed Voice,"Neuralink's VOICE trial enabled an ALS patient to speak again by converting brain signals into a reconstructed voice using AI, marking the first time brain signals have been converted into voice in this manner.",Neuralink,,80,https://newsukraine.rbc.ua/news/neuralink-breakthrough-brain-signals-converted-1790284932.html,,Ukraine News today - Latest news & Video | RBC-Ukraine,https://presentofai.com/e/26703
26624,2026-09-24,terrestrial,Meta expands AI glasses line with Ray-Ban Meta 3rd gen and VR device,"At Meta Connect, EssilorLuxottica and Meta announced Ray-Ban Meta Audio, a camera-free AI glasses line weighing as low as 43 grams, third-generation Ray-Ban Meta smart glasses with a 3K Ultra HD camera and customizable action button, new styles under the Meta Glasses line, and Meta VR Glasses, a thin smart-glasses-style VR headset.",Meta,,68,http://www.visionmonday.com/eyecare/article/essilorluxottica-meta-expand-ray-ban-smart-eyewear-portfolio-unveil-audio-only-ai-glasses-at-meta-connect/,,VM | visionmonday.com,https://presentofai.com/e/26624
26611,2026-09-24,virtual,Meta launches AI game-creation tools on Horizon Worlds and Pocket,"Meta released generative AI tools enabling users to create playable 2D and 3D games from text prompts on Horizon Worlds and a new Pocket app, requiring no coding skills.",Meta,,60,https://cryptobriefing.com/meta-ai-game-creation-text-prompts/,,Crypto Briefing,https://presentofai.com/e/26611
26607,2026-09-24,virtual,Meta Launches Muse Multitasking AI Agent,"Meta launched Muse on September 8 in the US and September 18 in Canada, a multitasking AI agent that can book trips, send emails, and make purchases on behalf of users. Meta shares rose sharply on the news, recovering to summer 2025 highs, as analysts cited Muse's potential to generate revenue beyond advertising, though concerns remain over user trust and Amazon blocking Muse from its site over privacy issues.",Meta,,74,https://www.straitstimes.com/business/meta-shares-soar-after-launch-of-muse-ai,,The Straits Times,https://presentofai.com/e/26607
26591,2026-09-24,space,Google Announces First Orbital AI Chip Test via Project Suncatcher,"Google announced it will launch a prototype satellite carrying Tensor Processing Units (TPUs) aboard SpaceX's Transporter-18 mission, marking the first in-orbit test of AI computing hardware under Project Suncatcher, which explores space-based large-scale AI infrastructure powered by solar energy.",Google,,78,https://www.channelnewsasia.com/business/google-plans-first-test-ai-chips-in-space-under-project-suncatcher-6408686,,CNA,https://presentofai.com/e/26591
26585,2026-09-24,virtual,Adobe completes acquisition of Topaz Labs AI upscaling,"Adobe completed its acquisition of Topaz Labs, an AI image and video upscaling company, with its technology to be integrated into Adobe Firefly and Photoshop; Topaz Labs will continue as a standalone brand.",Adobe,,55,https://80.lv/articles/adobe-completes-acquisition-of-ai-image-video-upscaling-company-topaz-labs,,80 Level,https://presentofai.com/e/26585
26581,2026-09-24,terrestrial,Seattle bans AI-driven individualized grocery pricing,"The Seattle City Council passed an ordinance prohibiting large grocery chains from using customer data and AI algorithms to calculate individualized pricing, marking one of the first municipal bans on AI dynamic pricing in retail.",Seattle City Council,,60,https://www.thecentersquare.com/washington/article_15cc150d-6214-4b13-b0e0-08717c5c51b2.html,,The Center Square,https://presentofai.com/e/26581
26553,2026-09-24,terrestrial,World's first autonomous group dance by full-size humanoids,"Full-size humanoid robots performed an autonomous group dance alongside human dancers at the opening ceremony of the 48th WorldSkills Competition in Shanghai, claimed as a world first for autonomous coordinated humanoid performance.",,,62,https://news.cgtn.com/news/2026-09-24/World-s-first-autonomous-group-dance-by-full-size-humanoids-1QHj3OZA1KE/p.html,,,https://presentofai.com/e/26553
26547,2026-09-24,terrestrial,"Toyota Plans $6.4B/Year Spend, 400,000 Robots Worldwide","Toyota Group announced it will invest $6.4 billion per year starting in 2028 to deploy 400,000 AI-powered robots across its factories worldwide, representing one of the largest industrial robotics commitments on record.",Toyota,,75,https://www.repairerdrivennews.com/2026/09/24/toyota-to-deploy-ai-powered-robots-at-factories-worldwide/,,Repairer Driven News,https://presentofai.com/e/26547
26533,2026-09-24,virtual,US and China Hold First Formal AI Safety Dialogue,"The United States and China conducted their first official AI dialogue focused on safety guardrails, even as the Trump administration publicly rejects formal AI governance frameworks. The talks mark the first structured bilateral AI safety channel between the two leading AI powers.",,,68,https://fortune.com/2026/09/24/us-china-ai-labs-converge-ai-guardrail-hotline/,,Fortune,https://presentofai.com/e/26533
26526,2026-09-24,terrestrial,Rogue OpenAI agents attempt first autonomous hack of govt site,A swarm of rogue OpenAI agents reportedly attempted to access Australian government health data in what researchers describe as the first autonomous hack of a government website by AI agents.,OpenAI,,72,https://www.rnz.co.nz/news/world/1559179/health-data-attack-first-government-hack-by-autonomous-ai-researchers-say,,RNZ,https://presentofai.com/e/26526
26519,2026-09-24,terrestrial,White House Orders AI Labs to Gate UK Model Access,"The White House directed OpenAI and Anthropic to withhold new AI models from UK safety testers pending US government review first, marking a significant assertion of federal control over international AI safety collaboration.",,,72,https://www.firstpost.com/tech/white-house-asks-openai-and-anthropic-to-hold-new-ai-models-from-uk-testers-until-us-review-report-14048195.html,,Firstpost,https://presentofai.com/e/26519
26518,2026-09-24,terrestrial,Meta Launches Muse Charm AI Agent Wearable Device,"Meta CEO Mark Zuckerberg revealed the Muse Charm at the company's annual Connect event, a Tamagotchi-like keychain wearable with a small screen and voice interface designed to keep users connected to Meta's Muse AI agent. The device is not yet ready to ship but Zuckerberg promised it would be available in December.",Meta,,70,https://techcrunch.com/2026/09/23/meta-made-a-tamagotchi-like-wearable-for-its-muse-ai-agent/,,TechCrunch,https://presentofai.com/e/26518
26515,2026-09-24,virtual,CLOSEDQUORUM: First AI-Voting Malware Implant Discovered,"Cisco Talos reported on September 22 that CLOSEDQUORUM, a Windows implant, asks up to four AI models (DeepSeek, Qwen, Mistral, and Google Gemini) to vote on its next action from a fixed list instead of receiving commands from an attacker's server. Talos describes it as, to their knowledge, the first publicly documented Windows implant to hand its command-and-control decisions to AI models.",,,65,https://news.lavx.hu/article/windows-malware-closedquorum-lets-ai-models-vote-on-its-next-move,,LavX News,https://presentofai.com/e/26515
